student,undeclared (first use in this function),expected ';' before,expected expression before,expected identifier or '(' before,implicit declaration of function,expected ')' before,expected declaration or statement at end of input,invalid operands to binary,lvalue required as left operand of assignment,"expected '=', ',', ';', 'asm' or '__attribute__' before",expected '}' before,stray ,ld returned 1 exit status,too few arguments to function,subscripted value is neither array nor pointer nor vector,missing terminating,unknown type name,invalid type argument of unary,expected '(' before,incompatible type for argument
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
4,19,6,9,3,5,3,5,0,0,3,0,0,0,1,0,0,1,0,0,0
5,4,1,1,0,1,0,1,3,0,4,0,0,0,8,0,2,1,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,1,0,2,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0
10,6,1,1,2,2,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0
13,2,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
14,11,9,12,9,0,4,7,0,2,3,2,0,0,1,0,0,5,0,0,0
22,26,9,3,5,2,4,4,0,1,0,0,0,16,2,1,0,1,0,1,0
24,3,0,0,2,0,0,7,0,0,0,1,0,7,0,0,0,0,0,0,0
25,4,5,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
29,14,0,0,4,5,0,2,0,0,0,1,0,2,1,0,0,0,0,0,0
30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,5,1,5,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
33,9,1,0,2,5,3,3,0,0,0,0,1,0,0,0,0,0,3,0,1
36,1,0,8,1,3,3,1,0,0,0,11,1,0,2,0,0,0,0,0,0
40,2,0,2,1,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
41,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,2,2,0,10,1,1,20,3,0,0,0,0,1,0,0,1,1,0,0
46,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,0,7,2,5,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0
52,3,2,0,0,0,0,3,0,0,1,0,0,0,1,1,0,2,0,0,0
53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
54,9,5,1,1,0,1,6,0,3,1,0,1,0,0,0,0,0,0,0,0
56,2,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,11,1,1,2,1,3,8,0,1,0,1,0,2,1,1,2,1,2,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,37,1,2,3,3,0,3,10,0,2,0,0,0,1,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,10,0,0,7,5,0,9,0,0,2,0,1,1,1,0,0,0,1,0,0
75,12,0,1,5,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0
77,14,1,11,0,2,0,4,8,0,0,0,0,0,6,2,0,0,0,0,7
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,25,3,8,5,2,1,1,9,0,1,0,0,0,5,0,0,0,0,0,2
93,8,1,2,2,4,6,1,2,1,6,0,1,4,0,2,0,0,0,0,0
95,31,3,8,17,9,20,2,2,1,6,0,0,0,1,0,1,7,0,1,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
103,19,0,2,2,1,1,1,2,0,0,0,1,0,2,0,0,2,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,3,3,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
109,6,1,1,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0
110,6,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
112,14,12,7,4,4,0,4,2,0,3,1,0,1,0,1,0,0,0,0,0
114,22,2,6,1,5,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0
115,19,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
122,14,0,2,4,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0
127,20,2,13,3,11,0,5,0,0,0,0,0,0,2,1,0,0,0,0,3
128,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,10,1,2,3,8,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
133,11,0,0,1,5,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0
138,9,0,2,2,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0
139,27,4,8,8,4,2,19,4,8,0,0,0,0,0,1,0,1,0,0,0
140,16,6,0,6,1,3,5,0,3,0,0,0,0,0,0,0,1,10,0,0
143,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
