student,undeclared (first use in this function),expected ';' before,expected expression before,expected identifier or '(' before,implicit declaration of function,expected ')' before,expected declaration or statement at end of input,invalid operands to binary,lvalue required as left operand of assignment,"expected '=', ',', ';', 'asm' or '__attribute__' before",expected '}' before,stray ,ld returned 1 exit status,too few arguments to function,subscripted value is neither array nor pointer nor vector,missing terminating,unknown type name,invalid type argument of unary,expected '(' before,incompatible type for argument
1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
3,14,10,1,3,1,1,2,0,0,0,5,0,0,0,0,0,0,0,4,0
4,3,8,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
5,7,4,3,1,14,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,7,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,5,3,0,1,4,0,3,0,0,0,0,0,1,0,2,0,0,0,0
13,4,6,2,1,0,1,2,0,8,1,0,0,0,0,0,2,0,0,0,0
14,17,5,1,0,1,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0
22,17,22,9,5,5,9,3,3,6,0,1,6,0,1,0,0,0,0,0,0
24,5,6,1,6,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0
25,5,8,4,2,2,3,4,0,1,1,0,1,0,0,0,0,0,0,1,0
28,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9,15,8,2,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,12,8,1,1,3,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0
31,17,10,8,3,3,7,3,3,6,0,0,0,0,7,0,0,0,0,2,0
33,5,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
36,7,6,11,9,0,21,2,6,1,1,7,0,0,0,0,5,0,0,3,0
40,41,7,6,0,5,1,1,0,3,0,0,0,0,0,0,3,1,0,0,0
41,3,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,11,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,5,2,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0
46,4,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,2,0,3,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0
