student,undeclared (first use in this function),expected ';' before,expected expression before,expected identifier or '(' before,implicit declaration of function,expected ')' before,expected declaration or statement at end of input,invalid operands to binary,lvalue required as left operand of assignment,"expected '=', ',', ';', 'asm' or '__attribute__' before",expected '}' before,stray ,ld returned 1 exit status,too few arguments to function,subscripted value is neither array nor pointer nor vector,missing terminating,unknown type name,invalid type argument of unary,expected '(' before,incompatible type for argument
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2,3,1,3,5,0,0,0,0,0,0,1,1,0,2,1,0,0,0
4,7,1,9,8,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
5,10,3,3,2,0,3,0,7,1,3,0,0,0,0,0,5,2,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19,0,3,2,1,5,5,0,0,4,0,0,0,0,0,0,0,0,0,0
10,6,2,1,1,3,0,1,1,0,0,0,0,0,0,0,1,6,0,0,0
13,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
14,3,2,0,1,4,1,0,0,0,8,0,0,0,0,0,0,2,0,0,0
22,8,5,2,2,0,0,0,0,2,1,0,0,0,1,0,0,5,0,0,0
24,7,0,0,1,6,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
25,2,1,0,0,5,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0
28,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,5,0,1,7,1,0,0,6,0,0,0,0,0,4,1,0,1,1,0,2
30,2,1,0,1,3,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0
31,2,1,0,1,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
33,7,4,4,3,2,5,1,0,0,1,4,0,1,0,0,0,0,0,0,0
36,10,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
40,13,2,0,0,5,0,3,0,7,0,0,0,0,7,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
44,3,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
51,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
52,9,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
53,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
56,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,3,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
65,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,7,2,2,3,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,7,0,0,1,2,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,1,1,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
77,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,9,1,1,0,6,2,0,1,0,2,0,1,0,0,0,0,0,0,1,0
93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,11,3,3,0,3,2,0,2,0,0,0,0,0,0,1,0,0,2,0,0
96,0,1,4,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,14,5,0,1,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
109,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,2,0,5,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
111,4,3,0,2,0,0,0,0,1,2,0,0,0,0,0,1,4,0,0,0
112,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
114,4,1,1,0,2,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0
115,9,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
116,9,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
118,6,6,6,0,1,3,1,2,0,1,0,0,0,0,0,0,5,0,0,0
122,2,3,0,0,6,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0
127,6,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,8,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,5,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
138,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
139,17,0,6,3,1,1,6,0,0,0,2,0,0,0,0,0,1,0,0,0
140,5,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
144,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,5,2,3,0,2,1,0,0,2,1,0,0,2,0,0,0,3,4,0,6
150,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
162,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
