student,undeclared (first use in this function),expected ';' before,expected expression before,expected identifier or '(' before,implicit declaration of function,expected ')' before,expected declaration or statement at end of input,invalid operands to binary,lvalue required as left operand of assignment,"expected '=', ',', ';', 'asm' or '__attribute__' before",expected '}' before,stray ,ld returned 1 exit status,too few arguments to function,subscripted value is neither array nor pointer nor vector,missing terminating,unknown type name,invalid type argument of unary,expected '(' before,incompatible type for argument
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,12,3,0,2,1,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0
4,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
10,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,20,9,8,1,1,0,14,0,0,3,0,1,36,0,0,1,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
29,1,0,0,2,2,2,1,0,0,0,0,0,0,2,0,0,1,0,0,0
30,4,4,0,4,0,4,0,0,0,2,0,0,2,0,0,0,4,0,0,0
31,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
33,10,7,3,0,6,1,1,0,1,4,1,0,0,2,17,0,0,0,0,0
36,5,0,1,0,4,0,2,0,0,0,0,3,9,2,0,2,0,0,0,0
40,20,2,0,3,2,0,1,0,8,0,0,0,0,0,0,1,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
42,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
43,1,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
44,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
46,1,7,2,3,3,1,1,2,0,2,0,0,0,0,0,0,0,1,0,2
49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,7,1,0,8,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
52,1,0,0,0,11,2,0,0,2,0,0,1,0,4,0,0,0,2,0,0
53,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
54,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
56,2,2,1,0,1,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0
60,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0
61,0,0,0,0,1,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,14,6,2,0,2,2,7,0,6,3,0,0,0,0,0,0,1,0,1,1
69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5,0,0,0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
77,3,0,1,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
83,12,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,8,4,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
103,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,15,8,0,0,3,1,8,0,0,0,0,4,0,4,0,0,1,0,2,0
109,5,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
110,9,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
111,2,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0
112,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
118,12,9,5,1,8,3,4,3,3,2,0,0,0,1,0,0,1,1,0,0
122,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
127,11,1,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
128,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,1,0,2,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0
133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
138,5,2,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0
139,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,4,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
148,5,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
162,3,9,11,7,5,7,11,0,0,1,6,0,3,0,0,3,0,6,1,0
164,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,3,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1,4,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
175,6,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,13,1,13,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1,0,1,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0
183,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,1,0,1,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
185,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
190,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
191,5,0,5,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
194,2,1,3,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
195,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,7,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
200,2,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,0,0,4,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
205,12,3,0,1,9,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0
212,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,11,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
219,6,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
225,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
230,13,6,1,0,0,3,0,0,0,3,0,0,1,1,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
235,8,2,8,5,6,2,0,0,0,1,0,0,2,1,0,0,0,0,0,0
236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
237,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
238,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
240,3,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0,1,0,0
242,1,0,4,1,1,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0
